"Commodity.Code","Commodity.Name","Partner.Code","Partner.Name"
"01","01 - Animals; live",4,"Afghanistan"
"02","02 - Meat and edible meat offal",4,"Afghanistan"
"03","03 - Fish and crustaceans, molluscs and other aquatic invertebrates",4,"Afghanistan"
"04","04 - Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4,"Afghanistan"
"05","05 - Animal originated products; not elsewhere specified or included",4,"Afghanistan"
"06","06 - Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",4,"Afghanistan"
"07","07 - Vegetables and certain roots and tubers; edible",4,"Afghanistan"
"08","08 - Fruit and nuts, edible; peel of citrus fruit or melons",4,"Afghanistan"
"09","09 - Coffee, tea, mate and spices",4,"Afghanistan"
"10","10 - Cereals",4,"Afghanistan"
"11","11 - Products of the milling industry; malt, starches, inulin, wheat gluten",4,"Afghanistan"
"12","12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",4,"Afghanistan"
"13","13 - Lac; gums, resins and other vegetable saps and extracts",4,"Afghanistan"
"14","14 - Vegetable plaiting materials; vegetable products not elsewhere specified or included",4,"Afghanistan"
"15","15 - Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",4,"Afghanistan"
"16","16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",4,"Afghanistan"
"17","17 - Sugars and sugar confectionery",4,"Afghanistan"
"18","18 - Cocoa and cocoa preparations",4,"Afghanistan"
"19","19 - Preparations of cereals, flour, starch or milk; pastrycooks' products",4,"Afghanistan"
"20","20 - Preparations of vegetables, fruit, nuts or other parts of plants",4,"Afghanistan"
"21","21 - Miscellaneous edible preparations",4,"Afghanistan"
"22","22 - Beverages, spirits and vinegar",4,"Afghanistan"
"23","23 - Food industries, residues and wastes thereof; prepared animal fodder",4,"Afghanistan"
"24","24 - Tobacco and manufactured tobacco substitutes",4,"Afghanistan"
"25","25 - Salt; sulphur; earths, stone; plastering materials, lime and cement",4,"Afghanistan"
"26","26 - Ores, slag and ash",4,"Afghanistan"
"27","27 - Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",4,"Afghanistan"
"28","28 - Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",4,"Afghanistan"
"29","29 - Organic chemicals",4,"Afghanistan"
"30","30 - Pharmaceutical products",4,"Afghanistan"
"31","31 - Fertilizers",4,"Afghanistan"
"32","32 - Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",4,"Afghanistan"
"33","33 - Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4,"Afghanistan"
"34","34 - Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",4,"Afghanistan"
"35","35 - Albuminoidal substances; modified starches; glues; enzymes",4,"Afghanistan"
"36","36 - Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",4,"Afghanistan"
"37","37 - Photographic or cinematographic goods",4,"Afghanistan"
"38","38 - Chemical products n.e.s.",4,"Afghanistan"
"39","39 - Plastics and articles thereof",4,"Afghanistan"
"40","40 - Rubber and articles thereof",4,"Afghanistan"
"41","41 - Raw hides and skins (other than furskins) and leather",4,"Afghanistan"
"42","42 - Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",4,"Afghanistan"
"43","43 - Furskins and artificial fur; manufactures thereof",4,"Afghanistan"
"44","44 - Wood and articles of wood; wood charcoal",4,"Afghanistan"
"45","45 - Cork and articles of cork",4,"Afghanistan"
"46","46 - Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",4,"Afghanistan"
"47","47 - Pulp of wood or other fibrous cellulosic material; waste and scrap of paper or paperboard",4,"Afghanistan"
"48","48 - Paper and paperboard; articles of paper pulp, of paper or paperboard",4,"Afghanistan"
"49","49 - Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",4,"Afghanistan"
"50","50 - Silk",4,"Afghanistan"
"51","51 - Wool, fine or coarse animal hair; horsehair yarn and woven fabric",4,"Afghanistan"
"52","52 - Cotton",4,"Afghanistan"
"53","53 - Vegetable textile fibres; paper yarn and woven fabrics of paper yarn",4,"Afghanistan"
"54","54 - Man-made filaments; strip and the like of man-made textile materials",4,"Afghanistan"
"55","55 - Man-made staple fibres",4,"Afghanistan"
"56","56 - Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",4,"Afghanistan"
"57","57 - Carpets and other textile floor coverings",4,"Afghanistan"
"58","58 - Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",4,"Afghanistan"
"59","59 - Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",4,"Afghanistan"
"60","60 - Fabrics; knitted or crocheted",4,"Afghanistan"
"61","61 - Apparel and clothing accessories; knitted or crocheted",4,"Afghanistan"
"62","62 - Apparel and clothing accessories; not knitted or crocheted",4,"Afghanistan"
"63","63 - Textiles, made up articles; sets; worn clothing and worn textile articles; rags",4,"Afghanistan"
"64","64 - Footwear; gaiters and the like; parts of such articles",4,"Afghanistan"
"65","65 - Headgear and parts thereof",4,"Afghanistan"
"66","66 - Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",4,"Afghanistan"
"67","67 - Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",4,"Afghanistan"
"68","68 - Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",4,"Afghanistan"
"69","69 - Ceramic products",4,"Afghanistan"
"70","70 - Glass and glassware",4,"Afghanistan"
"71","71 - Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",4,"Afghanistan"
"72","72 - Iron and steel",4,"Afghanistan"
"73","73 - Iron or steel articles",4,"Afghanistan"
"74","74 - Copper and articles thereof",4,"Afghanistan"
"75","75 - Nickel and articles thereof",4,"Afghanistan"
"76","76 - Aluminium and articles thereof",4,"Afghanistan"
"78","78 - Lead and articles thereof",4,"Afghanistan"
"79","79 - Zinc and articles thereof",4,"Afghanistan"
"80","80 - Tin; articles thereof",4,"Afghanistan"
"81","81 - Metals; n.e.s., cermets and articles thereof",4,"Afghanistan"
"82","82 - Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",4,"Afghanistan"
"83","83 - Metal; miscellaneous products of base metal",4,"Afghanistan"
"84","84 - Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",4,"Afghanistan"
"85","85 - Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4,"Afghanistan"
"86","86 - Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",4,"Afghanistan"
"87","87 - Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4,"Afghanistan"
"88","88 - Aircraft, spacecraft and parts thereof",4,"Afghanistan"
"89","89 - Ships, boats and floating structures",4,"Afghanistan"
"90","90 - Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",4,"Afghanistan"
"91","91 - Clocks and watches and parts thereof",4,"Afghanistan"
"92","92 - Musical instruments; parts and accessories of such articles",4,"Afghanistan"
"93","93 - Arms and ammunition; parts and accessories thereof",4,"Afghanistan"
"94","94 - Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",4,"Afghanistan"
"95","95 - Toys, games and sports requisites; parts and accessories thereof",4,"Afghanistan"
"96","96 - Miscellaneous manufactured articles",4,"Afghanistan"
"97","97 - Works of art; collectors' pieces and antiques",4,"Afghanistan"
"99","99 - Commodities not specified according to kind",4,"Afghanistan"
"01","01 - Animals; live",8,"Albania"
"02","02 - Meat and edible meat offal",8,"Albania"
"03","03 - Fish and crustaceans, molluscs and other aquatic invertebrates",8,"Albania"
"04","04 - Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",8,"Albania"
"05","05 - Animal originated products; not elsewhere specified or included",8,"Albania"
"06","06 - Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",8,"Albania"
"07","07 - Vegetables and certain roots and tubers; edible",8,"Albania"
"08","08 - Fruit and nuts, edible; peel of citrus fruit or melons",8,"Albania"
"09","09 - Coffee, tea, mate and spices",8,"Albania"
"10","10 - Cereals",8,"Albania"
"11","11 - Products of the milling industry; malt, starches, inulin, wheat gluten",8,"Albania"
"12","12 - Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",8,"Albania"
"13","13 - Lac; gums, resins and other vegetable saps and extracts",8,"Albania"
"14","14 - Vegetable plaiting materials; vegetable products not elsewhere specified or included",8,"Albania"
"15","15 - Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",8,"Albania"
"16","16 - Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",8,"Albania"
"17","17 - Sugars and sugar confectionery",8,"Albania"
"18","18 - Cocoa and cocoa preparations",8,"Albania"
"19","19 - Preparations of cereals, flour, starch or milk; pastrycooks' products",8,"Albania"
"20","20 - Preparations of vegetables, fruit, nuts or other parts of plants",8,"Albania"
"21","21 - Miscellaneous edible preparations",8,"Albania"
"22","22 - Beverages, spirits and vinegar",8,"Albania"
"23","23 - Food industries, residues and wastes thereof; prepared animal fodder",8,"Albania"
"24","24 - Tobacco and manufactured tobacco substitutes",8,"Albania"
"25","25 - Salt; sulphur; earths, stone; plastering materials, lime and cement",8,"Albania"
